bodytype,Car_seats,modelYear,kilometer,fueltype,ownerNo,transmission,price,Insurance,engine_cc,oem,gear_box,Mileage,drivetype,city
Sedan,5.0,2014,36349,Diesel,1,Automatic,1650000,Third Party insurance,1968.0,Skoda,6,17.2,FWD,bangalore
Hatchback,5.0,2009,80000,Petrol,3,Manual,249000,Third Party insurance,1197.0,Hyundai,5,20.36,FWD,bangalore
SUV,5.0,2014,83394,Petrol,2,Manual,630000,Third Party insurance,1598.0,Renault,5,13.24,FWD,bangalore
SUV,5.0,2016,30000,Diesel,2,Automatic,2599000,Third Party insurance,1968.0,Audi,7,14.16,AWD,bangalore
Hatchback,5.0,2009,80000,Petrol,3,Manual,249000,Third Party insurance,1197.0,Hyundai,5,20.36,FWD,bangalore
Hatchback,5.0,2017,52204,Petrol,1,Manual,385000,Third Party,998.0,Maruti,5,24.39,FWD,bangalore
Hatchback,5.0,2012,110000,Petrol,3,Manual,300000,Third Party insurance,1197.0,Hyundai,5,17.0,FWD,bangalore
SUV,7.0,2017,89000,Diesel,1,Automatic,2975000,Third Party insurance,3198.0,Ford,6,10.91,4WD,bangalore
Hatchback,5.0,2014,29813,Petrol,2,Manual,276000,Comprehensive,796.0,Maruti,5,22.05,FWD,bangalore
Hatchback,5.0,2018,30000,Petrol,1,Manual,500000,Third Party insurance,1196.0,Ford,5,18.16,FWD,bangalore
Hatchback,5.0,2020,13345,Petrol,1,Automatic,730000,Comprehensive,1197.0,Maruti,5,20.89,FWD,bangalore
SUV,7.0,2022,17100,Diesel,1,Automatic,2245000,Comprehensive,1498.0,Hyundai,6,18.1,FWD,bangalore
Hatchback,5.0,2014,75000,Petrol,1,Manual,399000,Comprehensive,1197.0,Hyundai,5,18.9,FWD,bangalore
Hatchback,5.0,2011,75523,Petrol,2,Manual,312000,Comprehensive,1197.0,Hyundai,5,20.36,FWD,bangalore
SUV,7.0,2015,47000,Diesel,1,Manual,1275000,Comprehensive,2179.0,Mahindra,6,16.0,FWD,bangalore
SUV,5.0,2022,36500,Diesel,1,Manual,1989999,Comprehensive,1956.0,Tata,6,16.35,FWD,bangalore
MUV,7.0,2020,28253,Petrol,1,Manual,719000,Comprehensive,999.0,Renault,5,20.0,FWD,bangalore
SUV,5.0,2016,50000,Diesel,1,Manual,1260000,Third Party insurance,1582.0,Hyundai,6,19.67,FWD,bangalore
Hatchback,5.0,2010,90000,Petrol,2,Manual,300000,Third Party insurance,1197.0,Hyundai,5,20.36,FWD,bangalore
SUV,5.0,2016,70000,Diesel,2,Automatic,3981000,Third Party insurance,2993.0,BMW,8,15.97,4WD,bangalore
Hatchback,5.0,2016,52571,Petrol,1,Manual,627000,Comprehensive,1197.0,Hyundai,5,18.6,FWD,bangalore
Sedan,5.0,2010,70000,Diesel,2,Automatic,1300000,Third Party insurance,1995.0,BMW,6,16.07,FWD,bangalore
Sedan,5.0,2015,61993,Petrol,1,Manual,672000,Comprehensive,1497.0,Honda,5,17.4,FWD,bangalore
SUV,5.0,2017,57000,Diesel,1,Automatic,1825000,Comprehensive,1995.0,Hyundai,6,16.38,RWD,bangalore
SUV,7.0,2021,80000,Diesel,2,Manual,3500000,Third Party insurance,2755.0,Toyota,6,14.24,RWD,bangalore
Hatchback,5.0,2013,36359,Petrol,1,Manual,440000,Comprehensive,1197.0,Hyundai,5,18.5,FWD,bangalore
SUV,5.0,2019,70000,Diesel,2,Manual,1460000,Third Party insurance,1956.0,Tata,6,17.0,FWD,bangalore
SUV,5.0,2022,7500,Petrol,1,Automatic,2041000,Comprehensive,1451.0,MG,8,18.9,FWD,bangalore
Sedan,5.0,2017,30301,Petrol,1,Automatic,1033000,Comprehensive,1591.0,Hyundai,6,17.0,FWD,bangalore
Hatchback,5.0,2010,66000,Petrol,1,Manual,275000,Comprehensive,1197.0,Hyundai,5,20.36,FWD,bangalore
Hatchback,5.0,2017,56010,Petrol,1,Manual,676000,Comprehensive,1197.0,Hyundai,5,18.6,FWD,bangalore
SUV,5.0,2017,47000,Diesel,1,Automatic,4290000,Comprehensive,2143.0,Mercedes-Benz,9,17.9,AWD,bangalore
SUV,5.0,2014,60000,Diesel,2,Manual,650000,Third Party insurance,1461.0,Nissan,6,19.01,FWD,bangalore
Hatchback,5.0,2014,83829,Diesel,1,Manual,444000,Third Party insurance,1248.0,Maruti,5,25.2,FWD,bangalore
Hatchback,5.0,2020,10000,Petrol,1,Automatic,509999,Third Party insurance,999.0,Renault,5,22.0,FWD,bangalore
SUV,5.0,2016,35000,Diesel,2,Automatic,925000,Comprehensive,1461.0,Renault,6,19.6,FWD,bangalore
Sedan,5.0,2019,51116,Petrol,2,Automatic,1024000,Comprehensive,1497.0,Honda,5,18.0,FWD,bangalore
Sedan,5.0,2016,80000,Diesel,3,Manual,500000,Third Party insurance,1498.0,Skoda,5,21.14,FWD,bangalore
